PLATE,MJD,IMG_NAME,IMG_NUM,PLATEQUALITY
6932,56397,b2-00160232,160232,good
6932,56397,r1-00160146,160146,good
6932,56397,r1-00160147,160147,good
6932,56397,r1-00160148,160148,good
6932,56397,r1-00160149,160149,good
6932,56397,r1-00160227,160227,good
6932,56397,r1-00160228,160228,good
6932,56397,r1-00160229,160229,good
6932,56397,r1-00160230,160230,good
6932,56397,r1-00160231,160231,good
6932,56397,r1-00160232,160232,good
6932,56397,r2-00160146,160146,good
6932,56397,r2-00160147,160147,good
6932,56397,r2-00160148,160148,good
6932,56397,r2-00160149,160149,good
6932,56397,r2-00160227,160227,good
6932,56397,r2-00160228,160228,good
6932,56397,r2-00160229,160229,good
6932,56397,r2-00160230,160230,good
6932,56397,r2-00160231,160231,good
6932,56397,r2-00160232,160232,good
3604,55146,b2-00103260,103260,bad 
3604,55146,b2-00103261,103261,bad 
3604,55146,b2-00103264,103264,bad 
3604,55146,b2-00103265,103265,bad 
3604,55146,b2-00103266,103266,bad 
3604,55146,r2-00103260,103260,bad 
3604,55146,r2-00103261,103261,bad 
3604,55146,r2-00103264,103264,bad 
3604,55146,r2-00103265,103265,bad 
3604,55146,r2-00103266,103266,bad 
4449,55544,b1-00123938,123938,good
4449,55544,b1-00123939,123939,good
4449,55544,b1-00123940,123940,good
4449,55544,b1-00123941,123941,good
4449,55544,b1-00123981,123981,good
4449,55544,b1-00123982,123982,good
4449,55544,b2-00123938,123938,good
4449,55544,b2-00123939,123939,good
4449,55544,b2-00123940,123940,good
4449,55544,b2-00123941,123941,good
4449,55544,b2-00123981,123981,good
4449,55544,b2-00123982,123982,good
4449,55544,r1-00123938,123938,good
4449,55544,r1-00123939,123939,good
4449,55544,r1-00123940,123940,good
4449,55544,r1-00123941,123941,good
4449,55544,r1-00123981,123981,good
4449,55544,r1-00123982,123982,good
4449,55544,r2-00123938,123938,good
4449,55544,r2-00123939,123939,good
4449,55544,r2-00123940,123940,good
4449,55544,r2-00123941,123941,good
4449,55544,r2-00123981,123981,good
4449,55544,r2-00123982,123982,good
6746,56386,b1-00159522,159522,good
6746,56386,b1-00159523,159523,good
6746,56386,b1-00159524,159524,good
6746,56386,b1-00159525,159525,good
6746,56386,b2-00159522,159522,good
6746,56386,b2-00159523,159523,good
6746,56386,b2-00159524,159524,good
6746,56386,b2-00159525,159525,good
6746,56386,r1-00159522,159522,good
6746,56386,r1-00159523,159523,good
6746,56386,r1-00159524,159524,good
6746,56386,r1-00159525,159525,good
6746,56386,r2-00159522,159522,good
6746,56386,r2-00159523,159523,good
6746,56386,r2-00159524,159524,good
6746,56386,r2-00159525,159525,good
4314,55855,b1-00135195,135195,good
4314,55855,b1-00135196,135196,good
4314,55855,b1-00135197,135197,good
4314,55855,b2-00135195,135195,good
4314,55855,b2-00135196,135196,good
4314,55855,b2-00135197,135197,good
4314,55855,r1-00135195,135195,good
4314,55855,r1-00135196,135196,good
4314,55855,r1-00135197,135197,good
4314,55855,r2-00135195,135195,good
4314,55855,r2-00135196,135196,good
4314,55855,r2-00135197,135197,good
5437,55973,b1-00139522,139522,good
5437,55973,b1-00139523,139523,good
5437,55973,b1-00139524,139524,good
5437,55973,b1-00139525,139525,good
5437,55973,b1-00139866,139866,good
5437,55973,b1-00139867,139867,good
5437,55973,b2-00139522,139522,good
5437,55973,b2-00139523,139523,good
5437,55973,b2-00139524,139524,good
5437,55973,b2-00139525,139525,good
5437,55973,b2-00139866,139866,good
5437,55973,b2-00139867,139867,good
5437,55973,r1-00139522,139522,good
5437,55973,r1-00139523,139523,good
5437,55973,r1-00139524,139524,good
5437,55973,r1-00139525,139525,good
5437,55973,r1-00139866,139866,good
5437,55973,r1-00139867,139867,good
5437,55973,r2-00139522,139522,good
5437,55973,r2-00139523,139523,good
5437,55973,r2-00139524,139524,good
5437,55973,r2-00139525,139525,good
5437,55973,r2-00139866,139866,good
5437,55973,r2-00139867,139867,good
7456,56727,b1-00176464,176464,good
7456,56727,b1-00176465,176465,good
7456,56727,b1-00176590,176590,good
7456,56727,b1-00176591,176591,good
7456,56727,b1-00176592,176592,good
7456,56727,b2-00176464,176464,good
7456,56727,b2-00176465,176465,good
7456,56727,b2-00176590,176590,good
7456,56727,b2-00176591,176591,good
7456,56727,b2-00176592,176592,good
7456,56727,r1-00176464,176464,good
7456,56727,r1-00176465,176465,good
7456,56727,r1-00176590,176590,good
7456,56727,r1-00176591,176591,good
7456,56727,r1-00176592,176592,good
7456,56727,r2-00176464,176464,good
7456,56727,r2-00176465,176465,good
7456,56727,r2-00176590,176590,good
7456,56727,r2-00176591,176591,good
7456,56727,r2-00176592,176592,good
4960,55747,b1-00132665,132665,good
4960,55747,b1-00132666,132666,good
4960,55747,b1-00132668,132668,good
4960,55747,b1-00132669,132669,good
4960,55747,b1-00132746,132746,good
4960,55747,b1-00132747,132747,good
4960,55747,b1-00132748,132748,good
4960,55747,b2-00132665,132665,good
4960,55747,b2-00132666,132666,good
4960,55747,b2-00132668,132668,good
4960,55747,b2-00132669,132669,good
4960,55747,b2-00132746,132746,good
4960,55747,b2-00132747,132747,good
4960,55747,b2-00132748,132748,good
4960,55747,r1-00132665,132665,good
4960,55747,r1-00132666,132666,good
4960,55747,r1-00132668,132668,good
4960,55747,r1-00132669,132669,good
